acronym	Partnership	action
windPROSPER	Eurostars 2	Article 185
NATALINA	M-ERA.NET 2	ERA-NET Cofund
MM-HUMAB	Eurostars 2	Article 185
NATWIP	WaterWorks2017	ERA-NET Cofund
NATMed	PRIMA	Article 185
NAPERDIV	BiodivClim	ERA-NET Cofund
NICHES	BiodivRestore	ERA-NET Cofund
CrimScapes	Governance	ERA-NET Cofund
Easy-Inject	Eurostars 2	Article 185
NEWEST-CCS	ACT	ERA-NET Cofund
Plurispace	HERA-JRP-PS	ERA-NET Cofund
LIFE Study	EDCTP2	Article 185
bioMAT4EYE	M-ERA.NET 3	ERA-NET Cofund
AMI-CARINA	Eurostars 2	Article 185
KLKIN	E-Rare-3	ERA-NET Cofund
ARTEMIS	QuantERA II	ERA-NET Cofund
ResiPreS	NEURON Cofund2	ERA-NET Cofund
Infant2Adult	FLAG-ERA III	ERA-NET Cofund
EnviroMood	NEURON Cofund2	ERA-NET Cofund
NDCil	NEURON Cofund2	ERA-NET Cofund
AUTONOMIC	NEURON Cofund2	ERA-NET Cofund
NeuroMarKet	NEURON Cofund	ERA-NET Cofund
MISs-CVD	ERA-CVD	ERA-NET Cofund
UCon	Eurostars 2	Article 185
NeuronReunited	FLAG-ERA III	ERA-NET Cofund
Neurostars	Eurostars 2	Article 185
Neu-vasc	NEURON Cofund	ERA-NET Cofund
Neutro-TB	EDCTP2	Article 185
Dressing4scars	M-ERA.NET 2	ERA-NET Cofund
ARROW-NANO	EuroNanoMed III	ERA-NET Cofund
CerCoat	Eurostars 2	Article 185
ECOPRINT	M-ERA.NET 2	ERA-NET Cofund
NANOEAR	EuroNanoMed III	ERA-NET Cofund
MINECO	ERA-MIN 2	ERA-NET Cofund
PoBeCo	Eurostars 2	Article 185
NEOCROSS	Eurostars 2	Article 185
NEWOCT	Eurostars 2	Article 185
HY-POWERBOX	Eurostars 2	Article 185
NImSoQ	QuantERA II	ERA-NET Cofund
APRINHA	JPIAMR-ACTION	ERA-NET Cofund
MAGBBRIS	EuroNanoMed III	ERA-NET Cofund
THERMOMASK	Eurostars 2	Article 185
NESSIE	M-ERA.NET 2	ERA-NET Cofund
17SIP08 NeWITT	EMPIR	Article 185
PICWeld	Eurostars 2	Article 185
HELION	Eurostars 2	Article 185
GIG-OSH	CHANSE	ERA-NET Cofund
BLOTHERM	Eurostars 2	Article 185
ResistAIDS	Eurostars 2	Article 185
MASTODON	Eurostars 2	Article 185
MONAMIX	ERA-MIN 2	ERA-NET Cofund
CONSIRS	PRIMA	Article 185
BauProAddi	M-ERA.NET 2	ERA-NET Cofund
G-COOL	Eurostars 2	Article 185
SuperWEAR	Eurostars 2	Article 185
ENFRIMAT	Eurostars 2	Article 185
IMMUNORESIST	Eurostars 2	Article 185
FROM’INNOV	Eurostars 2	Article 185
ECOSTRIPPAIR-2	Eurostars 2	Article 185
NEMoGrid	ERANet SmartGridPlus	ERA-NET Cofund
New STEPS	EN SGplusRegSys	ERA-NET Cofund
MedIn	MANUNET III	ERA-NET Cofund
GasSensingMat-RT	M-ERA.NET 3	ERA-NET Cofund
MetControl+	Eurostars 2	Article 185
AntiPathCoat	M-ERA.NET 2	ERA-NET Cofund
CPILS	Eurostars 2	Article 185
Neo2Fast	Eurostars 2	Article 185
DYNEELAX	Eurostars 2	Article 185
TURBO-PET	Eurostars 2	Article 185
Pur-Ther	TRANSCAN-3	ERA-NET Cofund
KITOMARK	Eurostars 2	Article 185
In4CIS	Solar Cofund 2	ERA-NET Cofund
BioC4	FACCE SURPLUS	ERA-NET Cofund
SKOPE	Eurostars 2	Article 185
TeleNitro	PRIMA	Article 185
COHFTOOL	Eurostars 2	Article 185
NERO	Eurostars 2	Article 185
CYCLOPS	Eurostars 2	Article 185
ProRefine	CORE Organic Cofund	ERA-NET Cofund
19ENG09 BIOFMET	EMPIR	Article 185
FP-Catheter	Eurostars 2	Article 185
G*Sorb	Eurostars 2	Article 185
MiLaCo	M-ERA.NET 2	ERA-NET Cofund
POLY-Housing	Eurostars 2	Article 185
BxDiff	EMPIR	Article 185
OLIPO	MANUNET III	ERA-NET Cofund
CABLEHEAL	Eurostars 2	Article 185
13C-CRM	Eurostars 2	Article 185
NIRBTEST	TRANSCAN-2	ERA-NET Cofund
PROPER	ERA-MIN 2	ERA-NET Cofund
ECHINO-SAFE-MED	PRIMA	Article 185
HiLight	Eurostars 2	Article 185
HydroG(re)EnergY-Env	EnerDigit	ERA-NET Cofund
PariTex	MANUNET III	ERA-NET Cofund
LEAP	NEURON Cofund	ERA-NET Cofund
16SIP01 Bio-stand	EMPIR	Article 185
Bio-stand 2	EMPIR	Article 185
ROC Matrix WIM	Eurostars 2	Article 185
HIDDEN-PV	M-ERA.NET 3	ERA-NET Cofund
Origami Sense	JPIAMR-ACTION	ERA-NET Cofund
NGISS	Eurostars 2	Article 185
GENESIS	Eurostars 2	Article 185
DYNAMITE	QuantERA II	ERA-NET Cofund
GraphiTool	Eurostars 2	Article 185
CDIFFVAC	Eurostars 2	Article 185
NANO-VERTEB	EuroNanoMed III	ERA-NET Cofund
LAWIS	Eurostars 2	Article 185
NeW-VIEUW	Eurostars 2	Article 185
NEXT-FOIL	SOLAR-ERA.NET Cofund	ERA-NET Cofund
NextGen DDaMM	Eurostars 2	Article 185
LiverQR	Eurostars 2	Article 185
GreenFIRE	Eurostars 2	Article 185
NexUV	Eurostars 2	Article 185
TEX4SUN	Eurostars 2	Article 185
NEXPECH2	M-ERA.NET 3	ERA-NET Cofund
ZABAT	M-ERA.NET 3	ERA-NET Cofund
NEXTLASERS	EMPIR	Article 185
NEOSCREEN	Eurostars 2	Article 185
NextGen-OptiCal	Eurostars 2	Article 185
BIG	Eurostars 2	Article 185
CleverCaps	Eurostars 2	Article 185
NITE	HERA-JRP-PS	ERA-NET Cofund
Nomad	Eurostars 2	Article 185
ACM-HF	ERA-CVD	ERA-NET Cofund
TOBITS	QuantERA II	ERA-NET Cofund
NUTHIC	Eurostars 2	Article 185
NIFTY	EDCTP2	Article 185
TransplantCheck	Eurostars 2	Article 185
EuroCID	E-Rare-3	ERA-NET Cofund
MacroERA	ERA-CVD	ERA-NET Cofund
NAQUAS	QuantERA	ERA-NET Cofund
SenseBurn	Eurostars 2	Article 185
CERMOD	NEURON Cofund	ERA-NET Cofund
RESTING	TRANSCAN-2	ERA-NET Cofund
Respiratory Blood Gas	Eurostars 2	Article 185
Sm@wa-Medi	PRIMA	Article 185
NOVISHPAK	PRIMA	Article 185
TECANT	ERA PerMed	ERA-NET Cofund
FEM2CXL	Eurostars 2	Article 185
NEXT-LIB	ERA-MIN 2	ERA-NET Cofund
CLICK-TB	EDCTP2	Article 185
LiverAce	Eurostars 2	Article 185
3D-CTOOL	Eurostars 2	Article 185
MED4PEST	PRIMA	Article 185
GETHERTHALPLUS	E-Rare-3	ERA-NET Cofund
TITAN LED	Eurostars 2	Article 185
TiSR	Eurostars 2	Article 185
MEPROWARE	WaterWorks2014	ERA-NET Cofund
ProCase	Eurostars 2	Article 185
PD-IRONSYN	Eurostars 2	Article 185
SidaTim	FACCE SURPLUS	ERA-NET Cofund
NoSi	Eurostars 2	Article 185
Variation	ERA-CVD	ERA-NET Cofund
ISOS	Eurostars 2	Article 185
SmartCPM	Eurostars 2	Article 185
VAPEX	Eurostars 2	Article 185
Baby Viewer	Eurostars 2	Article 185
SUSTAINOLIVE	PRIMA	Article 185
NAMEAS	M-ERA.NET 3	ERA-NET Cofund
TOP-Crete	M-ERA.NET 3	ERA-NET Cofund
BioIMplant	M-ERA.NET 3	ERA-NET Cofund
NicAb	NEURON Cofund	ERA-NET Cofund
DTBD	EDCTP2	Article 185
BlueBioChain	BlueBio	ERA-NET Cofund
MetVision	Eurostars 2	Article 185
MetView	Eurostars 2	Article 185
SmartBIMS	Eurostars 2	Article 185
Solar CPC PVT Production	Eurostars 2	Article 185
IAP-CMM	Eurostars 2	Article 185
NELL	SOLAR-ERA.NET Cofund	ERA-NET Cofund
PlastiSea	BlueBio	ERA-NET Cofund
SwitchItOn	Eurostars 2	Article 185
FightAMR	JPIAMR-ACTION	ERA-NET Cofund
NovCom	M-ERA.NET 2	ERA-NET Cofund
SEAPRO	Eurostars 2	Article 185
JAKSTAT-TARGET	ERA PerMed	ERA-NET Cofund
MOB-TARGET	JPIAMR-ACTION	ERA-NET Cofund
15HLT07 AntiMicroResist	EMPIR	Article 185
C-MOF.cell	M-ERA.NET 2	ERA-NET Cofund
WIONM-2	Eurostars 2	Article 185
NovMat-AM	M-ERA.NET 2	ERA-NET Cofund
PowderEUse	M-ERA.NET 3	ERA-NET Cofund
ReFina	ERA-MIN 2	ERA-NET Cofund
MOCO3	M-ERA.NET 2	ERA-NET Cofund
BEAMitup	Eurostars 2	Article 185
Mycosign	Eurostars 2	Article 185
AirToxMonitor	Eurostars 2	Article 185
ATMO-SENSE	PhotonicSensing	ERA-NET Cofund
5D Cell Transplantation	Eurostars 2	Article 185
Sustain-Larvae	Eurostars 2	Article 185
3D-SAFEAIR	Eurostars 2	Article 185
Seismprecast	Eurostars 2	Article 185
DCS	Eurostars 2	Article 185
4-in-1	Eurostars 2	Article 185
NEOVACC	ICRAD	ERA-NET Cofund
AquaTech4Feed	BlueBio	ERA-NET Cofund
ImageREPORT	Eurostars 2	Article 185
EMOTIONLAB	Eurostars 2	Article 185
NYMPH	MANUNET III	ERA-NET Cofund
ProDGNE	EJP RD	EJP Cofund
MimoVac-E	Eurostars 2	Article 185
TREAT-MTMs	E-Rare-3	ERA-NET Cofund
TARGETIN’RAS	Eurostars 2	Article 185
ENDORESIST	Eurostars 2	Article 185
AM2pC	M-ERA.NET 3	ERA-NET Cofund
NucNanoFish	ICRAD	ERA-NET Cofund
NEWTS	WaterWorks2017	ERA-NET Cofund
NuLIMAS	MarTERA	ERA-NET Cofund
NutriB2	BiodivERsA3	ERA-NET Cofund
NxPAS	Eurostars 2	Article 185
SAFE WATER	PhotonicSensing	ERA-NET Cofund
BIOMONT	Eurostars 2	Article 185
OPTIMO	PhotonicSensing	ERA-NET Cofund
ORACIA	AAL 2	Article 185
ORASTAR	AAL 2	Article 185
ORQUID	QuantERA	ERA-NET Cofund
Social TV	Eurostars 2	Article 185
OUI-PoC	Eurostars 2	Article 185
OBTAIN	Eurostars 2	Article 185
OASYS	MarTERA	ERA-NET Cofund
ODB	DemoWind 2	ERA-NET Cofund
FOW-TLP-C2S	Eurostars 2	Article 185
WFCT	DemoWind 2	ERA-NET Cofund
SubcID™	Eurostars 2	Article 185
City&Co	ENUTC	ERA-NET Cofund
OPCphrenia	NEURON Cofund	ERA-NET Cofund
OligoFIT	JPCOFUND2	ERA-NET Cofund
ORABBIT	PRIMA	Article 185
OPTIMA	ERA PerMed	ERA-NET Cofund
OASIS	Eurostars 2	Article 185
CHIP SCG	Eurostars 2	Article 185
SFQ4QPU	Eurostars 2	Article 185
INSIGNIA	Eurostars 2	Article 185
Battery Cortex	Eurostars 2	Article 185
SMARTECOPONICS	WaterWorks2015	ERA-NET Cofund
ShapeAM	M-ERA.NET 2	ERA-NET Cofund
MARRES	JPIAMR-ACTION	ERA-NET Cofund
1C4PV	Solar Cofund 2	ERA-NET Cofund
Flex MTF	MANUNET III	ERA-NET Cofund
SAFE-FRIED	Eurostars 2	Article 185
DevDBA	EJP RD	EJP Cofund
OpenGIS4ET	EnerDigit	ERA-NET Cofund
INNOVCARE	AAL 2	Article 185
OBServ	BiodivScen	ERA-NET Cofund
OSIE	Eurostars 2	Article 185
OPUSH	ENUTC	ERA-NET Cofund
HubIS	PRIMA	Article 185
OpOrTunIty	Eurostars 2	Article 185
DIONYSUS	PRIMA	Article 185
ASSER Malaria	EDCTP2	Article 185
FORWARD	WaterWorks2015	ERA-NET Cofund
OPERA	WaterWorks2015	ERA-NET Cofund
FieldCompanion	Eurostars 2	Article 185
DESyMED	Eurostars 2	Article 185
OCT-DETECTOR	Eurostars 2	Article 185
OpEn LaserLathe	Eurostars 2	Article 185
OLIDIGRAPH	MANUNET III	ERA-NET Cofund
15SIB03 OC18	EMPIR	Article 185
15SIB05 OFTEN	EMPIR	Article 185
BLINK	Eurostars 2	Article 185
14IND05 MIQC2	EMPIR	Article 185
SuperLens	Eurostars 2	Article 185
OPTRIBITS	QuantERA II	ERA-NET Cofund
INORIN	M-ERA.NET 3	ERA-NET Cofund
MILKQUA	PRIMA	Article 185
CichOpt	FACCE SURPLUS	ERA-NET Cofund
OPTIEBERRY	FACCE SURPLUS	ERA-NET Cofund
OPTIMUS PRIME	PRIMA	Article 185
RUBBEX	Eurostars 2	Article 185
StopStaphGrowth	JPIAMR-ACTION	ERA-NET Cofund
CABU-EICO	JPIAMR-ACTION	ERA-NET Cofund
Linezolid for DR-TB in South Africa	EDCTP2	Article 185
Oscar	BiodivERsA3	ERA-NET Cofund
CAVIFOS	JPIAMR-ACTION	ERA-NET Cofund
ACOMa	JPIAMR-ACTION	ERA-NET Cofund
3Interfaces	M-ERA.NET 3	ERA-NET Cofund
BASH-TREAT	ERA-MIN 2	ERA-NET Cofund
OPTIM-PARK	JPCOFUND2	ERA-NET Cofund
DEBORAH	Eurostars 2	Article 185
DISBUS2	Eurostars 2	Article 185
TRANSANDER	Eurostars 2	Article 185
PrazOpt	EDCTP2	Article 185
EVA	EN SGplusRegSys	ERA-NET Cofund
MachStack	MANUNET III	ERA-NET Cofund
OptiCAN	ERA PerMed	ERA-NET Cofund
ARI	Eurostars 2	Article 185
SafeConnect	Eurostars 2	Article 185
SulTAn	JPIAMR-ACTION	ERA-NET Cofund
Micro-Shield	Eurostars 2	Article 185
OWGRE	EnerDigit	ERA-NET Cofund
OPTIMIZE-NB	ERACoSysMed	ERA-NET Cofund
OPTIMAL	EDCTP2	Article 185
OptO-Heritage	Eurostars 2	Article 185
OPTIPUL	M-ERA.NET 3	ERA-NET Cofund
DIGIRAS	BlueBio	ERA-NET Cofund
OmegaPerMed	ERA PerMed	ERA-NET Cofund
MaxRoot-C	EJP SOIL	EJP Cofund
RE-storage	Eurostars 2	Article 185
Inanna CDS solution	Eurostars 2	Article 185
BEAD	NEURON Cofund	ERA-NET Cofund
Optim-TB	EDCTP2	Article 185
LEAVES	AAL 2	Article 185
water4ever	WaterWorks2015	ERA-NET Cofund
QuaSeRT	QuantERA	ERA-NET Cofund
OSCD	EMEurope	ERA-NET Cofund
ProVision	Eurostars 2	Article 185
ORION	Solar Cofund 2	ERA-NET Cofund
SysOrg	CORE Organic Cofund	ERA-NET Cofund
SIC-SOC-DYN	EJP SOIL	EJP Cofund
OLA	AAL 2	Article 185
PsoriaCure	Eurostars 2	Article 185
OIAMPHOI	MANUNET III	ERA-NET Cofund
OPERATE	Eurostars 2	Article 185
ONTHETRRAC	TRANSCAN-2	ERA-NET Cofund
GENRE	GENDER NET Plus	ERA-NET Cofund
Oxi-Mon	Eurostars 2	Article 185
proTool	M-ERA.NET 2	ERA-NET Cofund
OXYGENATE	ERA-HDHL	ERA-NET Cofund
PARENT	ENSCC	ERA-NET Cofund
EPINEURODEVO	NEURON Cofund2	ERA-NET Cofund
PEGaSus	SusAn	ERA-NET Cofund
Pearl	SOLAR-ERA.NET Cofund	ERA-NET Cofund
PerSAIDs	ERA PerMed	ERA-NET Cofund
PERMEABLE	ERA PerMed	ERA-NET Cofund
PETRA	Eurostars 2	Article 185
PHASR-PP	NEURON Cofund2	ERA-NET Cofund
PHOENIX	BESTF3	ERA-NET Cofund
PANIPAC	EuroNanoMed III	ERA-NET Cofund
PHANTASTIC	M-ERA.NET 3	ERA-NET Cofund
PIGergy	EN SGplusRegSys	ERA-NET Cofund
Plasma S3tream	Eurostars 2	Article 185
PLAMINPACK	PRIMA	Article 185
NovelPollinators	Eurostars 2	Article 185
POR TB	EDCTP2	Article 185
POR-BioSorb	M-ERA.NET 3	ERA-NET Cofund
POWERPAM	Eurostars 2	Article 185
PREPARIO	AAL 2	Article 185
PREV-ALE	Eurostars 2	Article 185
PREMED-CAD	ERA-CVD	ERA-NET Cofund
P3D	Eurostars 2	Article 185
PARRTAE	AquaticPollutants	ERA-NET Cofund
PROSPAX	EJP RD	EJP Cofund
PROFILES	Eurostars 2	Article 185
PROMEDLIFE	PRIMA	Article 185
PROMED-COG	ERA-HDHL	ERA-NET Cofund
PROGRESS	ERA PerMed	ERA-NET Cofund
PROVIDE	CORE Organic Cofund	ERA-NET Cofund
PSOP24-377	EDCTP2	Article 185
PSYCHOMICS	Eurostars 2	Article 185
PURE	HERA-JRP-PS	ERA-NET Cofund
D-Wave	Eurostars 2	Article 185
KidBrainIT	NEURON Cofund	ERA-NET Cofund
EAT4AGE	ERA-HDHL	ERA-NET Cofund
PANDORA ID NET	EDCTP2	Article 185
PanACEA	EDCTP2	Article 185
PeCaN	ERA PerMed	ERA-NET Cofund
PALETTEV2	AAL 2	Article 185
PHEMAC	PRIMA	Article 185
“DiaPore”	Eurostars 2	Article 185
HEROS	ERA-HDHL	ERA-NET Cofund
BaltVib	BiodivClim	ERA-NET Cofund
EurDyscover	EJP RD	EJP Cofund
REfrAME	JPco-fuND	ERA-NET Cofund
Stracyfic	ERA PerMed	ERA-NET Cofund
RAD51predict	ERA PerMed	ERA-NET Cofund
iNSC-WMD	E-Rare-3	ERA-NET Cofund
ProDial	ERA PerMed	ERA-NET Cofund
PARADE	Eurostars 2	Article 185
PERSONAL	Eurostars 2	Article 185
BeFIT	TRANSCAN-2	ERA-NET Cofund
PROFA	EJP RD	EJP Cofund
jawIMPLANT	M-ERA.NET 2	ERA-NET Cofund
fingerIMPLANT	M-ERA.NET 2	ERA-NET Cofund
PROSPECT	FLAG-ERA III	ERA-NET Cofund
16NRM02 SURFACE	EMPIR	Article 185
PROCEED	ERA PerMed	ERA-NET Cofund
PRINCESS	BiodivClim	ERA-NET Cofund
Intelligence_EYE	Eurostars 2	Article 185
PerciLight	AAL 2	Article 185
PERBAS	ACT	ERA-NET Cofund
POSTHCARD	AAL 2	Article 185
PARADISE	ERA PerMed	ERA-NET Cofund
PH	Eurostars 2	Article 185
PersRadSens	Eurostars 2	Article 185
MyHealth 1.0	Eurostars 2	Article 185
Smart RESCyou	M-ERA.NET 2	ERA-NET Cofund
PerCard	ERA PerMed	ERA-NET Cofund
PerEpi	ERA PerMed	ERA-NET Cofund
ScandRA	ERA PerMed	ERA-NET Cofund
PerFluid	ERA PerMed	ERA-NET Cofund
MG-PerMed	ERA PerMed	ERA-NET Cofund
PETAL	AAL 2	Article 185
PELOSHA	AAL 2	Article 185
PLOT-BD	ERA PerMed	ERA-NET Cofund
PARIS	ERACoSysMed	ERA-NET Cofund
ECLAI	ERA PerMed	ERA-NET Cofund
PHASE	Eurostars 2	Article 185
PerHeart	ERA PerMed	ERA-NET Cofund
PILCS	Eurostars 2	Article 185
MECPer-3D	EJP RD	EJP Cofund
WODIA	ERA PerMed	ERA-NET Cofund
PERMIT	ERA PerMed	ERA-NET Cofund
PerMiM	ERA PerMed	ERA-NET Cofund
PUSHCART	ERACoSysMed	ERA-NET Cofund
POPAI	Eurostars 2	Article 185
POPEYE	ERA PerMed	ERA-NET Cofund
Pattern-Cog	ERA PerMed	ERA-NET Cofund
SafeHeart	Eurostars 2	Article 185
PELICANO	Eurostars 2	Article 185
PMG-AD	JPCOFUND2	ERA-NET Cofund
P4-LUCAT	ERA PerMed	ERA-NET Cofund
PerMedSchiz	ERA PerMed	ERA-NET Cofund
PerMIDRIAR	ERA PerMed	ERA-NET Cofund
PMT-LC	ERA PerMed	ERA-NET Cofund
PerPlanRT	ERA PerMed	ERA-NET Cofund
POSITIVE	AAL 2	Article 185
RADprecise	ERA PerMed	ERA-NET Cofund
PersTIgAN	ERA PerMed	ERA-NET Cofund
PREDICTIV	Eurostars 2	Article 185
PersonAAL	AAL 2	Article 185
Sys4MS	ERACoSysMed	ERA-NET Cofund
OVA-PDM	ERA PerMed	ERA-NET Cofund
PAVIA	EDCTP2	Article 185
Phage-Stop-AMR	JPIAMR-ACTION	ERA-NET Cofund
PhageLand	JPIAMR-ACTION	ERA-NET Cofund
PRACE	EDCTP2	Article 185
PROFORMA	EDCTP2	Article 185
DIAGMAL	EDCTP2	Article 185
PZQ4PSAC	EDCTP2	Article 185
PhaseMapper3D	Eurostars 2	Article 185
PG2CRM	ERA-MIN3	ERA-NET Cofund
PHOSTER	ERA-MIN3	ERA-NET Cofund
AGATA	Eurostars 2	Article 185
PASOCA	Eurostars 2	Article 185
PIRMAH	Eurostars 2	Article 185
Fish-PhotoCAT	PRIMA	Article 185
PACE-IN	QuantERA	ERA-NET Cofund
OCTIC	Eurostars 2	Article 185
PhoMemtor	QuantERA II	ERA-NET Cofund
17FUN05 PhotOQuant	EMPIR	Article 185
nanoLight	EuroNanoMed III	ERA-NET Cofund
COMCO	Eurostars 2	Article 185
EcoBiotic	ERA-HDHL	ERA-NET Cofund
InflASD	NEURON Cofund2	ERA-NET Cofund
SmartEnergy	M-ERA.NET 2	ERA-NET Cofund
PI2MAP	MANUNET III	ERA-NET Cofund
Pilloxa	Eurostars 2	Article 185
COMPTIMS	Eurostars 2	Article 185
PLACED	ENSUF	ERA-NET Cofund
PLARASBAT	M-ERA.NET 2	ERA-NET Cofund
PLATON	EMEurope	ERA-NET Cofund
BioVine	CORE Organic Cofund	ERA-NET Cofund
PROSIT	PRIMA	Article 185
Plants4Nemavax	ICRAD	ERA-NET Cofund
PlasmaCoLa	M-ERA.NET 3	ERA-NET Cofund
EV-glio	ERA PerMed	ERA-NET Cofund
FERRITIN	Eurostars 2	Article 185
PLASMANODE	M-ERA.NET 3	ERA-NET Cofund
PlasmaComp	M-ERA.NET 2	ERA-NET Cofund
PECLABEL	M-ERA.NET 3	ERA-NET Cofund
PHECATGEN	Eurostars 2	Article 185
Blue4Therapy	Eurostars 2	Article 185
PIANO	Eurostars 2	Article 185
Shear-ATLAS	Eurostars 2	Article 185
frAAgiLe	AAL 2	Article 185
zocAALo	AAL 2	Article 185
TURNTABLE	AAL 2	Article 185
PlatFAMs	CHANSE	ERA-NET Cofund
PLAYTIME	AAL 2	Article 185
Pleasurescapes	HERA-JRP-PS	ERA-NET Cofund
PASS-BIO	FACCE SURPLUS	ERA-NET Cofund
POC4Allergies	ERA PerMed	ERA-NET Cofund
PREPARED	Eurostars 2	Article 185
InterPol	QuantERA	ERA-NET Cofund
CATAPULT	EN-UAC	ERA-NET Cofund
PIMEO AI	MarTERA	ERA-NET Cofund
SUPERHYDROPES	Eurostars 2	Article 185
PolyBioMat	M-ERA.NET 3	ERA-NET Cofund
PORQUE	Eurostars 2	Article 185
Pompey	M-ERA.NET 3	ERA-NET Cofund
PROTEUS	Eurostars 2	Article 185
PII	DIAL	ERA-NET Cofund
POPBACK	Governance	ERA-NET Cofund
PORMETALOMICS	M-ERA.NET 3	ERA-NET Cofund
HUV2	Eurostars 2	Article 185
PROXIMA	PhotonicSensing	ERA-NET Cofund
Irradion	Eurostars 2	Article 185
MOBILTOX	MarTERA	ERA-NET Cofund
WINBIOTOOL	MANUNET III	ERA-NET Cofund
VetPOC	Eurostars 2	Article 185
PAMAFRICA	EDCTP2	Article 185
PEOPLE	EDCTP2	Article 185
PHEALING	FOSC	ERA-NET Cofund
PRESAGE	AquaticPollutants	ERA-NET Cofund
FUNPOTENTIAL	BiodivClim	ERA-NET Cofund
POSHMyCo	ICT-AGRI-FOOD	ERA-NET Cofund
WReMo	M-ERA.NET 2	ERA-NET Cofund
PISA	Eurostars 2	Article 185
POWER	CORE Organic Cofund	ERA-NET Cofund
PowerMaps	Eurostars 2	Article 185
POKET	MANUNET III	ERA-NET Cofund
HANDYWATER	PRIMA	Article 185
Drug for Neuropathic Pain	Eurostars 2	Article 185
LIPARCI	EuroNanoMed III	ERA-NET Cofund
PREP2GO	Eurostars 2	Article 185
PreBreak	Eurostars 2	Article 185
PRECISE	AAL 2	Article 185
SoilSalAdapt	EJP SOIL	EJP Cofund
PAVER	PRIMA	Article 185
PCMPS	Eurostars 2	Article 185
GeneDock	Eurostars 2	Article 185
PRECIMED	PRIMA	Article 185
GrASTech	ERA-GAS	ERA-NET Cofund
PMI-AD	JPCOFUND2	ERA-NET Cofund
17IND14 WRITE	EMPIR	Article 185
PARIS	ERA PerMed	ERA-NET Cofund
BileCanMet	TRANSCAN-3	ERA-NET Cofund
TreatOPON	E-Rare-3	ERA-NET Cofund
Psi-Alc	NEURON Cofund	ERA-NET Cofund
PREVAlL	Eurostars 2	Article 185
MECACCM	NEURON Cofund2	ERA-NET Cofund
PRE-CARE ML	ERA PerMed	ERA-NET Cofund
SoilForEUROPE	BiodivERsA3	ERA-NET Cofund
PROGNOS	WaterWorks2014	ERA-NET Cofund
PREAR	FACCE SURPLUS	ERA-NET Cofund
FruitFlow	SusCrop	ERA-NET Cofund
RumenPredict	ERA-GAS	ERA-NET Cofund
MICROSERVICES	BiodivClim	ERA-NET Cofund
PredACTINg	EJP RD	EJP Cofund
PERISCOPE_	Eurostars 2	Article 185
PreBioM	Eurostars 2	Article 185
PREDATOR	Eurostars 2	Article 185
WINDELIN	Eurostars 2	Article 185
ToxHQ CRO	Eurostars 2	Article 185
PIONEER	Eurostars 2	Article 185
MOSTMEG	ERA-MIN 2	ERA-NET Cofund
PMTR-pNET	TRANSCAN-2	ERA-NET Cofund
Strokefinder	Eurostars 2	Article 185
2D-SbGe	FLAG-ERA II	ERA-NET Cofund
PRIMECURE	Eurostars 2	Article 185
PREPARE	E-Rare-3	ERA-NET Cofund
PANAMA	Solar Cofund 2	ERA-NET Cofund
PHARMASEA	AquaticPollutants	ERA-NET Cofund
PROFIUS	BlueBio	ERA-NET Cofund
SafeAgroBee	PRIMA	Article 185
Pre-ACT	ACT	ERA-NET Cofund
TACTILE	AAL 2	Article 185
PravaTB	EDCTP2	Article 185
ANTILAPSE	Eurostars 2	Article 185
WPT4FOIL	Eurostars 2	Article 185
SO-NUTS	HDHL-INTIMIC	ERA-NET Cofund
TRANS-FOODS	ERA-HDHL	ERA-NET Cofund
FORTIPHY	ERA-HDHL	ERA-NET Cofund
POC4AIV	ICRAD	ERA-NET Cofund
PROMISE-EPI	EDCTP2	Article 185
GeMed	PRIMA	Article 185
DiaSense	Eurostars 2	Article 185
GLIOGEL	EuroNanoMed III	ERA-NET Cofund
PREPARE	EDCTP2	Article 185
I-PREGNO	HDHL-INTIMIC	ERA-NET Cofund
PRISM-eBT	EMPIR	Article 185
PriArc	HERA JRP UP	ERA-NET Cofund
ForestFisher	BiodivRestore	ERA-NET Cofund
ALTOS	PRIMA	Article 185
17IND01 MIMAS	EMPIR	Article 185
PRISMA	ACT	ERA-NET Cofund
HETMOLION	ERA-MIN3	ERA-NET Cofund
DEEPEN-iRBD	ERA PerMed	ERA-NET Cofund
PAVE	EJP RD	EJP Cofund
Pro FC	Eurostars 2	Article 185
4BIOLIVE	PRIMA	Article 185
DOPALAM	Eurostars 2	Article 185
LAMMIC	Eurostars 2	Article 185
DEBUT	FACCE SURPLUS	ERA-NET Cofund
GATES	FLAG-ERA II	ERA-NET Cofund
LivMat	M-ERA.NET 3	ERA-NET Cofund
PMR UNLIMITED	Eurostars 2	Article 185
ProBaNNt	MarTERA	ERA-NET Cofund
PIXEL	TRANSCAN-3	ERA-NET Cofund
PREDICt	TRANSCAN-2	ERA-NET Cofund
VIRAL-MI	NEURON Cofund2	ERA-NET Cofund
PrOFT	Eurostars 2	Article 185
PUMA	BESTF3	ERA-NET Cofund
MIPROG	Eurostars 2	Article 185
PROPEL	Eurostars 2	Article 185
PADS	Eurostars 2	Article 185
Project Alpha	AAL 2	Article 185
PRO-EME	EMEurope	ERA-NET Cofund
NutriGreen	FOSC	ERA-NET Cofund
RES-MAB	PRIMA	Article 185
RELAST	Eurostars 2	Article 185
